name,site,wikipedia,wikipedia_languages_num,twitter,twitter_following,twitter_followers,twitter_tweets,twitter_verified,facebook,facebook_likes,facebook_followers,facebook_verified,instagram,instagram_posts,instagram_followers,instagram_following,instagram_verified,instagram_socialstates_engagement,youtube,youtube_subscribers,youtube_videos,youtube_views,youtube_verified,youtube_joined,tiktok,tiktok_following,tiktok_followers,tiktok_likes,tiktok_verified,snapchat,snapchat_verified,pinterest,pinterest_followers,pinterest_following,pinterest_verified,linkedin,site_social_links,corewebvitals_mobile,corewebvitals_desktop,pagespeedweb_performance_m,pagespeedweb_accessibility_m,pagespeedweb_best_m,pagespeedweb_ceo_m,pagespeedweb_performance_d,pagespeedweb_accessibility_d,pagespeedweb_best_d,pagespeedweb_d_ceo,pagespeedweb_speed_index_m,pagespeedweb_speed_index_d,wikipedia revenue,market_cap,zippia_revenue,zippia_local,indeed,indeed_wellbeing,indeed_stars,indeed_reviews,indeed_revenue,mozcom_domain_authority,mozcom_linking_root_domains,mozcom_ranking_keywords,mozcom_spam_score
Nike,https://www.nike.com,https://en.wikipedia.org/wiki/Nike%2C_Inc.,75,/Nike,120,9863642,38544,v,/nike,36842713,38667225,v,/nike,1277,305M,160,v,0.03,https://www.youtube.com/user/nike,1.77M,519,402161984,v,"Mar 8, 2006",/@nike,179,4.7M,17.3M,v,/nike,v,/nike,965k,3,v,/nike,"https://twitter.com/Nike,https://www.facebook.com/nike,https://www.youtube.com/user/nike,https://instagram.com/nike",x,v,27,95,68,99,36,88,68,92,14.2 s,6.7 s,US$ 46.71 billion (2022),$ 141.47 Billion,$ 46.7 billion,,https://www.indeed.com/cmp/Nike,76,4.1,11.7K,more than $10B (USD),91,253.6k,241.3k,9
Adidas,https://www.adidas.com,https://en.wikipedia.org/wiki/Adidas,91,/adidas,200,4377037,15950,v,/adidas,41046633,41755214,v,/adidas,935,27.9M ,508,v,0.34,https://www.youtube.com/c/adidas,1.05M,184,21494194,v,"Oct 29, 2005",/@adidas,0,5.5M,35.5M,v,/adidas_global,v,/adidas,720.4k,8,v,/adidas,"https://www.facebook.com/adidas,https://www.instagram.com/adidas/,https://twitter.com/adidas,https://www.pinterest.com/adidas/,https://www.tiktok.com/@adidas?lang=en,https://www.youtube.com/c/adidas",x,x,46,67,100,86,67,67,100,83,12.6 s,5.2 s,€ 21.915 billion (2018),$ 31.01 Billion,,Adidas America revenue: $ 510.0 million,https://www.indeed.com/cmp/Adidas,71,3.9,4.9K,more than $10B (USD),89,135.3k,106.6k,14
Skechers,https://www.skechers.com,https://en.wikipedia.org/wiki/Skechers,17,/SKECHERSUSAx,238,48697,10615,,/SKECHERS,7634258,7664864,v,/skechers,2190,1.1M,82,v,0.13,http://youtube.com/skechers,109K,186,234736334,x,"Mar 24, 2006",/@skechers,41,201.2K,1M,v,/skechersusa,v,/skechers,39.1k,47,v,/skechers,"https://www.facebook.com/SKECHERS,https://twitter.com/SKECHERSUSA,http://instagram.com/skechers,http://www.pinterest.com/skechers,http://youtube.com/skechers",v,x,32,88,68,98,55,77,68,100,25.0 s,3.7 s,US$7.44 billion (2022),$ 7.40 Billion,$ 7.4 billion,,https://www.indeed.com/cmp/Skechers,69,3.5,2.8K,$5B to $10B (USD),80,32.3k,19k,7
New Balance,https://www.newbalance.com,https://en.wikipedia.org/wiki/New_Balance,32,/NewBalance,728,294664,19446,v,/Newbalance,9035045,9127640,v,/newbalance,277,7.1M,404,v,1.11,https://www.youtube.com/user/newbalance,142K,325,299170246,x,"Mar 22, 2006",/@newbalance,41,267.2K,2.2M,v,/newbalance,v,/newbalance,116.5k,18,v,/new-balance,"https://www.instagram.com/newbalance/,http://www.facebook.com/Newbalance,https://twitter.com/NewBalance,https://www.youtube.com/user/newbalance,https://www.pinterest.com/newbalance/",x,x,27,90,68,86,57,97,68,83,13.5 s,3.4 s,US$ 5.3 billion (2022),no_data,$ 4.5 billion,,https://www.indeed.com/cmp/New-Balance,72,3.9,806,$1B to $5B (USD),82,36.1k,37.6k,2
ASICS,https://www.asics.com/us/en-us,https://en.wikipedia.org/wiki/Asics,35,/ASICSamerica,1492,97233,15699,x,/ASICS,4.5M,x,v,/asics,3025,1M,756,v,0.24,https://www.youtube.com/asicsglobal,36.2K,411,16417203,x,"Dec 3, 2014",/@asics,136,97.9K,508.6K,v,/jennihnson,x,/asics,26.2k,539,v,/asics,"https://www.facebook.com/ASICS,https://twitter.com/ASICSamerica,https://www.instagram.com/asics/?hl=en,https://www.youtube.com/asicsglobal,https://www.linkedin.com/company/asics-america/",x,x,16,100,68,83,25,92,64,73,21.8 s,7.7 s,¥ 484.6 billion (2022),$ 6.81 Billion,,ASICS America revenue: $ 110.5 billion,https://www.indeed.com/cmp/Asics,74,3.9,470,more than $10B (USD),75,46.2k,25.5k,3
Puma,https://us.puma.com/us/en,https://en.wikipedia.org/wiki/Puma_(brand),60,/puma,63,1998499,73747,v,/puma,21M,x,v,/puma,3616,13M,117,v,0.74,http://www.youtube.com/puma,695K,665,352359600,v,"Oct 9, 2005",/@puma,59,4.3M,31.9M,v,/puma-se,v,/puma,118.4k,278,v,/puma,"https://www.facebook.com/puma,https://twitter.com/puma,http://instagram.com/puma#,http://www.pinterest.com/puma/,http://www.youtube.com/puma/",x,x,34,93,68,93,56,83,68,92,10.3 s,3.1 s,€ 8.465 billion (2022),$ 9.45 Billion,$ 5.9 billion,,https://www.indeed.com/cmp/Puma,72,4,1K,$5B to $10B (USD),88,72k,21.5k,1
Under Armour,https://www.underarmour.com/en-us,https://en.wikipedia.org/wiki/Under_Armour,32,/UnderArmour,925,963820,26950,v,/UnderArmour,11639540,11651501,v,/underarmour,3820,8.3M,646,v,0.06,https://www.youtube.com/user/underarmour,280K,893,286867192,x,"Mar 3, 2006",/@underarmour,63,607.6K,4.8M,v,/underarmour,v,/underarmour,189k,112,v,/under-armour,"https://www.instagram.com/underarmour/,https://www.facebook.com/UnderArmour/,https://twitter.com/UnderArmour,https://www.youtube.com/user/underarmour",x,v,50,84,68,92,57,83,68,92,10.6 s,2.9 s,US$ 5.683 billion (FY 2021),$ 3.00 Billion,$ 5.3 billion,,"https://www.indeed.com/cmp/Under-Armour,-Inc",74,3.8,1.5K,$5B to $10B (USD),73,41.4k,59.5k,1
Fila,https://www.fila.com,https://en.wikipedia.org/wiki/Fila,35,/filausa,185,69851,8944,x,/FILAusa,264K,303K,v,/filausa,3418,2.4M,326,v,0.05,https://www.youtube.com/@FILAUSA,511,18,23852,x,"Aug 21, 2013",x,x,x,x,*,x,*,/filausa,12.3k,83,v,/fila,"https://twitter.com/filausa,https://www.instagram.com/filausa/,https://www.facebook.com/FILAusa/",x,x,31,78,77,100,68,83,77,100,16.2 s,5.1 s,no_data,$ 1.79 Billion,$ 34.0 million,,https://www.indeed.com/cmp/Fila,x,4,52,x,60,12.2k,5.4k,1
Columbia,https://www.columbia.com/footwear,https://en.wikipedia.org/wiki/Columbia_Sportswear,14,/Columbia1938,3553,127710,23122,x,/ColumbiaSportswear,2432333,2453789,v,/columbia1938,3326,584K,1948,v,0.18,https://www.youtube.com/user/ColumbiaSportswear,149K,817,76360575,v,"Oct 28, 2008",/@columbia1938,343,176.6K,448.8K,v,/columbia1938,v,/columbia1938,24.9k,113,v,/columbia-sportswear,"https://www.instagram.com/columbia1938/,https://www.facebook.com/ColumbiaSportswear,https://www.youtube.com/user/ColumbiaSportswear,https://twitter.com/Columbia1938,https://www.linkedin.com/company/columbia-sportswear/,https://www.tiktok.com/@columbia1938?lang=en",x,v,34,84,68,98,67,84,68,92,14.7 s,3.6 s,US$ 3.4 billion (2022),$ 4.35 Billion,$ 3.5 billion,,https://www.indeed.com/cmp/Columbia-Sportswear-b79aea1b,74,3.7,926,$1B to $5B (USD),66,22.2k,46.9k,4
K-Swiss,https://kswiss.com,https://en.wikipedia.org/wiki/K-Swiss,12,/KSWISS,229,25028,15658,x,/kswiss,916K,x,v,/kswiss,2986,110K,753,v,0.1,https://www.youtube.com/channel/UCvdZzX6woqnttDzamVeYt1g,24.3K,192,16414862,x,"Mar 5, 2009",x,x,x,x,*,x,*,x,x,x,*,/ksgb,"https://www.instagram.com/kswiss/,https://www.facebook.com/kswiss/,https://twitter.com/KSWISS,https://www.youtube.com/channel/UCvdZzX6woqnttDzamVeYt1g",v,v,32,95,73,84,64,95,73,83,9.5 s,4.4 s,no_data,no_data,$ 400.0 million,,https://www.indeed.com/cmp/K--swiss,x,3.8,4,$100M to $500M (USD),58,5.9k,2k,3
